CoC,Count,"Sheltered ES Homeless, 2010","Sheltered TH Homeless, 2010","Sheltered SH Homeless, 2010","Sheltered Total Homeless, 2010","Unsheltered Homeless, 2010","Overall Homeless Individuals, 2010","Sheltered ES Homeless Individuals, 2010","Sheltered TH Homeless Individuals, 2010","Sheltered SH Homeless Individuals, 2010","Sheltered Total Homeless Individuals, 2010","Unsheltered Homeless Individuals, 2010","Overall Homeless People in Families, 2010","Sheltered ES Homeless People in Families, 2010","Sheltered TH Homeless People in Families, 2010","Sheltered Total Homeless People in Families, 2010","Unsheltered Homeless People in Families, 2010","Overall Homeless Family Households, 2010","Sheltered ES Homeless Family Households, 2010","Sheltered TH Homeless Family Households, 2010","Sheltered Total Homeless Family Households, 2010","Unsheltered Homeless Family Households, 2010","Sheltered SH Chronically Homeless, 2010","Overall Chronically Homeless Individuals, 2010","Sheltered ES Chronically Homeless Individuals, 2010","Sheltered SH Chronically Homeless Individuals, 2010","Sheltered Total Chronically Homeless Individuals, 2010","Unsheltered Chronically Homeless Individuals, 2010"
MO-603,164,106,16,16,138,26,140,84,14,16,114,26,24,22,2,24,0,9,8,1,9,0,16,64,32,16,48,16
MO-604a,2153,913,"1,033",0,"1,946",207,"1,290",665,418,0,"1,083",207,863,248,615,863,0,275,78,197,275,0,0,556,431,0,431,125
MO-606,1912,895,433,11,"1,339",573,"1,092",478,260,11,749,343,820,417,173,590,230,257,132,57,189,68,11,287,246,11,257,30
MS-500,914,180,252,0,432,482,801,131,198,0,329,472,113,49,54,103,10,46,16,25,41,5,0,147,65,0,65,82
MS-501,1242,346,314,0,660,582,581,132,145,0,277,304,661,214,169,383,278,199,61,45,106,93,0,125,59,0,59,66
MS-503,587,52,37,0,89,498,542,39,16,0,55,487,45,13,21,34,11,19,6,8,14,5,0,85,6,0,6,79
MT-500,1615,674,494,0,"1,168",447,890,370,192,0,562,328,725,304,302,606,119,238,98,103,201,37,0,145,96,0,96,49
NC-500,543,310,192,0,502,41,389,262,86,0,348,41,154,48,106,154,0,51,15,36,51,0,0,142,120,0,120,22
NC-501,516,197,265,0,462,54,415,168,193,0,361,54,101,29,72,101,0,40,10,30,40,0,0,111,68,0,68,43
NC-502,675,311,296,0,607,68,534,242,226,0,468,66,141,69,70,139,2,51,27,23,50,1,0,141,89,0,89,52
NC-503,2851,"1,320",886,0,"2,206",645,"1,824",812,455,0,"1,267",557,"1,027",508,431,939,88,353,173,139,312,41,0,262,193,0,193,69
NC-504,1070,508,426,0,934,136,738,391,216,0,607,131,332,117,210,327,5,112,39,71,110,2,0,131,95,0,95,36
NC-505,2841,970,"1,120",0,"2,090",751,"2,168",722,695,0,"1,417",751,673,248,425,673,0,243,87,156,243,0,0,307,250,0,250,57
NC-506,678,274,297,0,571,107,381,181,97,0,278,103,297,93,200,293,4,76,19,55,74,2,0,65,49,0,49,16
NC-507,1180,631,428,0,"1,059",121,892,431,340,0,771,121,288,200,88,288,0,113,77,36,113,0,0,183,145,0,145,38
NC-509,324,165,41,0,206,118,264,127,19,0,146,118,60,38,22,60,0,24,15,9,24,0,0,40,18,0,18,22
NC-511,1033,112,182,0,294,739,538,72,6,0,78,460,495,40,176,216,279,145,13,44,57,88,0,32,4,0,4,28
NC-513,135,88,30,0,118,17,111,84,10,0,94,17,24,4,20,24,0,9,2,7,9,0,0,38,31,0,31,7
NC-516,345,93,31,0,124,221,107,38,19,0,57,50,238,55,12,67,171,76,20,5,25,51,0,27,15,0,15,12
ND-500,799,461,307,0,768,31,539,306,207,0,513,26,260,155,100,255,5,82,47,33,80,2,0,64,61,0,61,3
NE-500,1540,505,691,0,"1,196",344,799,268,302,0,570,229,741,237,389,626,115,250,83,131,214,36,0,125,76,0,76,49
NE-501,1429,906,429,0,"1,335",94,"1,083",761,228,0,989,94,346,145,201,346,0,109,46,63,109,0,0,293,261,0,261,32
NE-502,908,354,470,0,824,84,541,229,230,0,459,82,367,125,240,365,2,123,45,77,122,1,0,117,79,0,79,38
NH-500,813,502,208,0,710,103,477,289,98,0,387,90,336,213,110,323,13,111,66,40,106,5,0,158,125,0,125,33
NH-501,415,129,188,3,320,95,278,112,72,3,187,91,137,17,116,133,4,56,6,48,54,2,3,64,61,3,64,0
NH-502,346,98,204,5,307,39,188,78,83,5,166,22,158,20,121,141,17,69,10,53,63,6,0,104,91,0,91,13
NJ-500,588,406,50,0,456,132,511,354,40,0,394,117,77,52,10,62,15,28,20,3,23,5,0,74,42,0,42,32
NJ-501,522,256,194,0,450,72,338,212,69,0,281,57,184,44,125,169,15,63,19,39,58,5,0,76,53,0,53,23
NJ-502,716,655,33,0,688,28,338,295,25,0,320,18,378,360,8,368,10,127,120,4,124,3,0,71,68,0,68,3
NJ-503,1572,944,277,0,"1,221",351,804,452,87,0,539,265,768,492,190,682,86,272,177,62,239,33,0,51,30,0,30,21
NJ-504,1716,982,515,0,"1,497",219,842,556,121,0,677,165,874,426,394,820,54,324,154,145,299,25,0,122,81,0,81,41
NJ-506,1779,"1,372",225,0,"1,597",182,637,405,83,0,488,149,"1,142",967,142,"1,109",33,436,369,53,422,14,0,74,40,0,40,34
NJ-507,1535,415,938,0,"1,353",182,591,182,283,0,465,126,944,233,655,888,56,325,88,214,302,23,0,52,34,0,34,18
NJ-508,604,368,208,0,576,28,222,200,5,0,205,17,382,168,203,371,11,141,62,74,136,5,0,72,72,0,72,0
NJ-509,297,155,85,0,240,57,167,91,27,0,118,49,130,64,58,122,8,49,24,21,45,4,0,51,20,0,20,31
NJ-510,590,489,53,0,542,48,310,267,9,0,276,34,280,222,44,266,14,96,75,16,91,5,0,52,48,0,48,4
NJ-511,698,472,61,0,533,165,348,182,46,0,228,120,350,290,15,305,45,125,101,5,106,19,0,31,14,0,14,17
NJ-512,146,121,25,0,146,0,83,77,6,0,83,0,63,44,19,63,0,22,15,7,22,0,0,0,0,0,0,0
NJ-513,310,146,150,0,296,14,162,64,87,0,151,11,148,82,63,145,3,47,25,21,46,1,0,8,6,0,6,2
NJ-514,901,527,247,0,774,127,477,319,65,0,384,93,424,208,182,390,34,150,74,66,140,10,0,101,73,0,73,28
NJ-515,1212,319,875,0,"1,194",18,465,190,263,0,453,12,747,129,612,741,6,252,45,204,249,3,0,20,15,0,15,5
NJ-516,551,251,269,0,520,31,225,143,66,0,209,16,326,108,203,311,15,115,39,70,109,6,0,22,21,0,21,1
NM-500,2002,481,590,0,"1,071",931,"1,454",379,238,0,617,837,548,102,352,454,94,180,33,108,141,39,0,403,152,0,152,251
NM-501,1473,504,533,0,"1,037",436,889,258,227,0,485,404,584,246,306,552,32,124,35,76,111,13,0,376,189,0,189,187
NV-500,9949,825,"6,179",0,"7,004","2,945","8,566",730,"4,904",0,"5,634","2,932","1,383",95,"1,275","1,370",13,342,31,307,338,4,0,"1,090",117,0,117,973
NV-501,934,464,231,0,695,239,790,363,188,0,551,239,144,101,43,144,0,47,32,15,47,0,0,264,131,0,131,133
NV-502,322,92,57,0,149,173,209,36,12,0,48,161,113,56,45,101,12,46,23,17,40,6,0,61,5,0,5,56
NY-500,709,472,221,12,705,4,375,269,90,12,371,4,334,203,131,334,0,103,61,42,103,0,12,85,69,12,81,4
NY-501,256,53,192,0,245,11,202,34,161,0,195,7,54,19,31,50,4,18,6,11,17,1,0,5,5,0,5,0
NY-503,650,478,134,0,612,38,442,289,115,0,404,38,208,189,19,208,0,71,63,8,71,0,0,72,37,0,37,35
NY-504,118,19,45,0,64,54,35,10,22,0,32,3,83,9,23,32,51,30,4,8,12,18,0,0,0,0,0,0
NY-505,840,403,406,0,809,31,677,317,341,0,658,19,163,86,65,151,12,61,35,20,55,6,0,116,105,0,105,11
NY-506,19,12,0,0,12,7,13,9,0,0,9,4,6,3,0,3,3,2,1,0,1,1,0,0,0,0,0,0
NY-507,389,336,27,0,363,26,224,190,8,0,198,26,165,146,19,165,0,54,46,8,54,0,0,34,25,0,25,9
NY-508,1137,393,528,3,924,213,805,302,307,3,612,193,332,91,221,312,20,135,31,95,126,9,3,112,67,3,70,42
NY-510,73,27,36,0,63,10,41,18,13,0,31,10,32,9,23,32,0,12,3,9,12,0,0,15,5,0,5,10
NY-511,234,114,109,0,223,11,211,95,105,0,200,11,23,19,4,23,0,8,7,1,8,0,0,47,47,0,47,0
NY-512,314,249,20,0,269,45,83,30,8,0,38,45,231,219,12,231,0,114,109,5,114,0,0,25,2,0,2,23
NY-513,75,63,12,0,75,0,42,30,12,0,42,0,33,33,0,33,0,13,13,0,13,0,0,4,4,0,4,0
NY-514,88,20,61,0,81,7,28,12,9,0,21,7,60,8,52,60,0,19,3,16,19,0,0,3,3,0,3,0
NY-516,84,58,18,0,76,8,63,39,18,0,57,6,21,19,0,19,2,9,8,0,8,1,0,5,3,0,3,2
NY-518,343,100,226,0,326,17,251,66,168,0,234,17,92,34,58,92,0,32,9,23,32,0,0,19,14,0,14,5
NY-519,305,237,64,0,301,4,161,100,57,0,157,4,144,137,7,144,0,40,37,3,40,0,0,5,5,0,5,0
NY-520,14,5,0,0,5,9,8,5,0,0,5,3,6,0,0,0,6,3,0,0,0,3,0,4,1,0,1,3
NY-522,121,44,76,0,120,1,103,28,74,0,102,1,18,16,2,18,0,9,8,1,9,0,0,4,4,0,4,0
NY-523,186,115,42,0,157,29,151,102,20,0,122,29,35,13,22,35,0,13,5,8,13,0,0,31,8,0,8,23
NY-600,53187,"43,096","6,871",109,"50,076","3,111","19,992","11,764","5,008",109,"16,881","3,111","33,195","31,332","1,863","33,195",0,"10,332","9,680",652,"10,332",0,109,"3,128","1,028",109,"1,137","1,991"
NY-601,476,227,209,0,436,40,280,131,109,0,240,40,196,96,100,196,0,90,41,49,90,0,0,77,55,0,55,22
NY-602,505,299,46,0,345,160,294,146,0,0,146,148,211,153,46,199,12,65,45,16,61,4,0,114,53,0,53,61
NY-603,3163,"2,561",526,0,"3,087",76,741,500,165,0,665,76,"2,422","2,061",361,"2,422",0,751,640,111,751,0,0,53,40,0,40,13
NY-604,1339,403,902,0,"1,305",34,460,347,79,0,426,34,879,56,823,879,0,237,28,209,237,0,0,187,176,0,176,11
NY-606,141,38,51,0,89,52,93,15,26,0,41,52,48,23,25,48,0,17,8,9,17,0,0,55,3,0,3,52
NY-607,400,376,0,18,394,6,264,240,0,18,258,6,136,136,0,136,0,33,33,0,33,0,0,22,16,0,16,6
NY-608,440,271,34,0,305,135,254,117,30,0,147,107,186,154,4,158,28,61,53,2,55,6,0,37,6,0,6,31
OH-500,1006,555,376,0,931,75,709,387,247,0,634,75,297,168,129,297,0,97,51,46,97,0,0,303,273,0,273,30
OH-501,986,495,349,12,856,130,672,363,174,12,549,123,314,132,175,307,7,111,46,63,109,2,12,218,164,12,176,42
OH-502,2278,"1,211",895,34,"2,140",138,"1,783",962,652,34,"1,648",135,495,249,243,492,3,171,85,85,170,1,22,664,569,22,591,73
OH-503,1387,"1,104",149,0,"1,253",134,954,713,116,0,829,125,433,391,33,424,9,132,114,15,129,3,0,276,163,0,163,113
OH-504,183,91,82,6,179,4,97,68,19,6,93,4,86,23,63,86,0,25,5,20,25,0,4,13,7,4,11,2
OH-505,884,554,279,25,858,26,625,426,148,25,599,26,259,128,131,259,0,96,45,51,96,0,19,102,72,19,91,11
OH-506,859,316,346,10,672,187,587,205,185,10,400,187,272,111,161,272,0,84,37,47,84,0,0,218,106,0,106,112
OH-507,4555,"1,607","1,855",0,"3,462","1,093","2,044",822,516,0,"1,338",706,"2,511",785,"1,339","2,124",387,810,229,448,677,133,0,429,255,0,255,174
OH-508,431,257,121,0,378,53,248,173,32,0,205,43,183,84,89,173,10,69,31,35,66,3,0,17,10,0,10,7
OK-500,323,99,80,0,179,144,207,69,43,0,112,95,116,30,37,67,49,39,11,12,23,16,0,21,8,0,8,13
OK-501,905,616,221,45,882,23,718,476,174,45,695,23,187,140,47,187,0,60,45,15,60,0,19,85,59,19,78,7
OK-502,1128,625,264,0,889,239,890,521,144,0,665,225,238,104,120,224,14,79,36,36,72,7,0,264,163,0,163,101
OK-503,324,247,70,0,317,7,211,196,8,0,204,7,113,51,62,113,0,35,15,20,35,0,0,0,0,0,0,0
OK-504,565,115,136,0,251,314,438,85,44,0,129,309,127,30,92,122,5,37,12,24,36,1,0,82,43,0,43,39
OK-505,567,179,64,0,243,324,214,96,44,0,140,74,353,83,20,103,250,136,38,8,46,90,0,73,69,0,69,4
OK-506,272,210,42,0,252,20,156,139,0,0,139,17,116,71,42,113,3,30,19,10,29,1,0,13,7,0,7,6
OK-507,1145,259,43,0,302,843,483,130,25,0,155,328,662,129,18,147,515,249,53,6,59,190,0,82,27,0,27,55
OR-500,2580,472,492,27,991,"1,589","1,899",378,156,27,561,"1,338",681,94,336,430,251,217,36,108,144,73,27,633,152,27,179,454
OR-501,4235,902,"1,742",0,"2,644","1,591","2,943",699,731,0,"1,430","1,513","1,292",203,"1,011","1,214",78,443,69,339,408,35,0,792,238,0,238,554
OR-502,922,76,274,0,350,572,505,59,177,0,236,269,417,17,97,114,303,123,8,34,42,81,0,151,22,0,22,129
OR-503,569,108,148,0,256,313,305,87,27,0,114,191,264,21,121,142,122,80,9,35,44,36,0,75,13,0,13,62
OR-505,8814,751,"1,852",3,"2,606","6,208","3,579",562,667,3,"1,232","2,347","5,235",189,"1,185","1,374","3,861","1,676",61,361,422,"1,254",1,712,219,1,220,492
OR-506,950,91,148,9,248,702,514,8,48,9,65,449,436,83,100,183,253,135,22,38,60,75,9,145,0,9,9,136
OR-507,1422,46,90,0,136,"1,286",986,3,13,0,16,970,436,43,77,120,316,137,16,28,44,93,0,93,2,0,2,91
PA-500,6084,"3,623","1,908",72,"5,603",481,"3,077","2,161",363,72,"2,596",481,"3,007","1,462","1,545","3,007",0,996,503,493,996,0,72,580,141,72,213,367
PA-501,394,173,122,11,306,88,238,104,41,11,156,82,156,69,81,150,6,57,24,30,54,3,11,121,58,11,69,52
PA-502,716,349,314,0,663,53,265,149,63,0,212,53,451,200,251,451,0,136,65,71,136,0,0,60,29,0,29,31
PA-503,201,110,85,0,195,6,117,68,43,0,111,6,84,42,42,84,0,30,13,17,30,0,0,11,9,0,9,2
PA-504,428,200,190,0,390,38,170,104,28,0,132,38,258,96,162,258,0,82,29,53,82,0,0,49,32,0,32,17
PA-505,319,116,188,8,312,7,156,92,49,8,149,7,163,24,139,163,0,52,9,43,52,0,7,46,37,7,44,2
PA-506,513,209,291,0,500,13,343,167,163,0,330,13,170,42,128,170,0,56,12,44,56,0,0,30,17,0,17,13
PA-508,285,76,167,0,243,42,145,58,45,0,103,42,140,18,122,140,0,49,6,43,49,0,0,19,10,0,10,9
PA-509,1895,739,"1,013",0,"1,752",143,759,383,250,0,633,126,"1,136",356,763,"1,119",17,363,105,252,357,6,0,131,78,0,78,53
PA-510,602,257,322,0,579,23,302,171,108,0,279,23,300,86,214,300,0,101,27,74,101,0,0,69,63,0,63,6
PA-511,474,98,340,0,438,36,169,37,96,0,133,36,305,61,244,305,0,103,22,81,103,0,0,23,18,0,18,5
PA-600,1265,297,814,35,"1,146",119,722,222,346,35,603,119,543,75,468,543,0,154,28,126,154,0,35,235,122,35,157,78
PA-601,910,408,449,33,890,20,443,222,168,33,423,20,467,186,281,467,0,153,64,89,153,0,25,93,56,25,81,12
PA-603,134,54,68,0,122,12,70,14,47,0,61,9,64,40,21,61,3,22,13,8,21,1,0,10,3,0,3,7
PA-605,296,169,110,0,279,17,215,143,61,0,204,11,81,26,49,75,6,39,13,23,36,3,0,47,45,0,45,2
PR-502,1775,310,558,0,868,907,"1,597",286,512,0,798,799,178,24,46,70,108,61,6,19,25,36,0,"1,045",511,0,511,534
PR-503,2374,238,288,10,536,"1,838","2,124",145,171,10,326,"1,798",250,93,117,210,40,88,25,48,73,15,10,"1,173",163,10,173,"1,000"
RI-500,1282,761,428,17,"1,206",76,704,442,173,17,632,72,578,319,255,574,4,216,105,110,215,1,17,86,43,17,60,26
SC-500,416,173,174,0,347,69,337,142,126,0,268,69,79,31,48,79,0,27,9,18,27,0,0,55,55,0,55,0
SC-501,1164,537,471,0,"1,008",156,753,392,208,0,600,153,411,145,263,408,3,131,46,84,130,1,0,210,140,0,140,70
SC-502,1368,505,424,0,929,439,993,379,233,0,612,381,375,126,191,317,58,131,43,68,111,20,0,180,102,0,102,78
SC-503,1525,362,390,0,752,773,"1,111",205,260,0,465,646,414,157,130,287,127,185,85,50,135,50,0,229,95,0,95,134
SD-500,731,371,296,0,667,64,445,218,163,0,381,64,286,153,133,286,0,87,42,45,87,0,0,109,45,0,45,64
TN-500,622,256,67,0,323,299,573,234,40,0,274,299,49,22,27,49,0,16,8,8,16,0,0,91,33,0,33,58
TN-501,1657,464,"1,030",0,"1,494",163,"1,032",331,538,0,869,163,625,133,492,625,0,192,37,155,192,0,0,168,43,0,43,125
TN-502,910,388,384,0,772,138,792,365,297,0,662,130,118,23,87,110,8,44,8,33,41,3,0,237,180,0,180,57
TN-503,177,69,90,0,159,18,136,45,73,0,118,18,41,24,17,41,0,16,10,6,16,0,0,37,29,0,29,8
TN-504,2324,"1,312",659,14,"1,985",339,"2,098","1,213",532,14,"1,759",339,226,99,127,226,0,73,26,47,73,0,14,"1,236",883,14,897,339
TN-506,635,135,44,0,179,456,383,89,15,0,104,279,252,46,29,75,177,80,14,10,24,56,0,64,19,0,19,45
TN-507,2050,422,245,8,675,"1,375","1,135",54,165,8,227,908,915,368,80,448,467,410,170,25,195,215,8,209,16,8,24,185
TN-509,840,564,77,0,641,199,743,522,36,0,558,185,97,42,41,83,14,30,15,12,27,3,0,68,37,0,37,31
TN-510,219,109,6,0,115,104,152,60,2,0,62,90,67,49,4,53,14,17,11,2,13,4,0,70,10,0,10,60
TN-512,842,653,3,0,656,186,579,424,3,0,427,152,263,229,0,229,34,78,68,0,68,10,0,315,224,0,224,91
TX-500,3291,806,827,41,"1,674","1,617","2,413",457,336,41,834,"1,579",878,349,491,840,38,291,105,174,279,12,0,602,191,0,191,411
TX-503,2087,731,506,17,"1,254",833,"1,486",483,153,17,653,833,601,248,353,601,0,196,85,111,196,0,17,982,444,17,461,521
TX-600,3710,"1,827","1,639",43,"3,509",201,"2,403","1,337",822,43,"2,202",201,"1,307",490,817,"1,307",0,433,167,266,433,0,43,514,353,43,396,118
TX-601,2181,"1,148",838,0,"1,986",195,"1,299",879,225,0,"1,104",195,882,269,613,882,0,281,81,200,281,0,0,209,147,0,147,62
TX-603,1260,567,397,0,964,296,768,342,136,0,478,290,492,225,261,486,6,159,73,83,156,3,0,205,69,0,69,136
TX-604,312,107,119,0,226,86,231,86,65,0,151,80,81,21,54,75,6,24,7,16,23,1,0,48,29,0,29,19
TX-607,14827,"2,872","1,494",0,"4,366","10,461","10,142","1,715",756,0,"2,471","7,671","4,685","1,157",738,"1,895","2,790","1,745",405,232,637,"1,108",0,"2,039",523,0,523,"1,516"
TX-611,578,487,60,0,547,31,410,378,1,0,379,31,168,109,59,168,0,48,31,17,48,0,0,84,78,0,78,6
TX-624,242,235,0,0,235,7,215,208,0,0,208,7,27,27,0,27,0,11,11,0,11,0,0,190,183,0,183,7
TX-700,6368,"1,663","2,570",16,"4,249","2,119","4,488","1,024","1,583",16,"2,623","1,865","1,880",639,987,"1,626",254,781,236,481,717,64,0,"1,581",455,0,455,"1,126"
TX-701,265,134,47,0,181,84,223,119,27,0,146,77,42,15,20,35,7,18,5,10,15,3,0,58,45,0,45,13
UT-500,1968,"1,061",629,49,"1,739",229,"1,191",712,204,49,965,226,777,349,425,774,3,227,104,122,226,1,37,200,54,37,91,109
UT-503,952,314,506,0,820,132,465,210,143,0,353,112,487,104,363,467,20,145,33,106,139,6,0,104,22,0,22,82
UT-504,364,73,90,0,163,201,270,40,35,0,75,195,94,33,55,88,6,32,12,18,30,2,0,102,12,0,12,90
VA-500,1012,488,454,20,962,50,800,398,332,20,750,50,212,90,122,212,0,78,32,46,78,0,0,92,75,0,75,17
VA-501,625,414,127,0,541,84,428,292,60,0,352,76,197,122,67,189,8,58,38,18,56,2,0,103,72,0,72,31
VA-502,518,455,45,0,500,18,395,357,20,0,377,18,123,98,25,123,0,45,37,8,45,0,0,118,108,0,108,10
VA-503,517,231,204,0,435,82,251,129,40,0,169,82,266,102,164,266,0,79,31,48,79,0,0,75,39,0,39,36
VA-504,228,160,41,0,201,27,168,133,16,0,149,19,60,27,25,52,8,18,8,8,16,2,0,117,105,0,105,12
VA-505,607,354,197,22,573,34,448,281,111,22,414,34,159,73,86,159,0,51,25,26,51,0,22,104,71,22,93,11
VA-507,210,125,53,0,178,32,147,97,18,0,115,32,63,28,35,63,0,22,10,12,22,0,0,40,36,0,36,4
VA-508,255,147,64,0,211,44,133,56,33,0,89,44,122,91,31,122,0,44,35,9,44,0,0,53,30,0,30,23
VA-513,448,319,40,0,359,89,231,174,6,0,180,51,217,145,34,179,38,50,34,6,40,10,0,76,58,0,58,18
VA-514,288,133,27,0,160,128,224,101,0,0,101,123,64,32,27,59,5,22,11,9,20,2,0,83,37,0,37,46
VA-521,1261,477,324,0,801,460,632,262,43,0,305,327,629,215,281,496,133,213,75,90,165,48,0,117,50,0,50,67
VA-600,535,169,139,4,312,223,351,112,12,4,128,223,184,57,127,184,0,61,18,43,61,0,4,119,36,4,40,79
VA-601,1552,604,800,8,"1,412",140,660,382,130,8,520,140,892,222,670,892,0,263,68,195,263,0,6,248,139,6,145,103
VA-602,157,74,47,0,121,36,71,39,5,0,44,27,86,35,42,77,9,25,12,11,23,2,0,21,12,0,12,9
VA-603,359,185,136,0,321,38,208,115,55,0,170,38,151,70,81,151,0,52,25,27,52,0,0,80,55,0,55,25
VA-604,508,175,177,0,352,156,191,94,9,0,103,88,317,81,168,249,68,100,22,52,74,26,0,64,28,0,28,36
VI-500,487,33,59,0,92,395,468,21,52,0,73,395,19,12,7,19,0,9,6,3,9,0,0,385,20,0,20,365
VT-500,607,274,248,6,528,79,428,161,194,6,361,67,179,113,54,167,12,63,34,25,59,4,1,85,58,1,59,26
VT-501,613,337,213,0,550,63,369,172,139,0,311,58,244,165,74,239,5,104,71,32,103,1,0,48,26,0,26,22
WA-500,9022,"2,485","3,693",44,"6,222","2,800","5,608","1,781","1,024",44,"2,849","2,759","3,414",704,"2,669","3,373",41,"1,064",211,836,"1,047",17,44,903,610,44,654,249
WA-501,7685,"1,943","3,319",0,"5,262","2,423","3,632","1,011","1,041",0,"2,052","1,580","4,053",932,"2,278","3,210",843,"1,266",297,714,"1,011",255,0,417,145,0,145,272
WA-502,1242,536,534,0,"1,070",172,659,359,151,0,510,149,583,177,383,560,23,134,42,85,127,7,0,224,136,0,136,88
WA-503,1807,477,"1,160",0,"1,637",170,697,326,218,0,544,153,"1,110",151,942,"1,093",17,333,43,284,327,6,0,160,59,0,59,101
WA-504,2018,362,"1,041",0,"1,403",615,805,238,116,0,354,451,"1,213",124,925,"1,049",164,399,44,312,356,43,0,238,173,0,173,65
WA-508,1104,240,644,11,895,209,500,168,217,11,396,104,604,72,427,499,105,192,24,131,155,37,11,164,103,11,114,50
WI-500,3992,"1,623","1,584",0,"3,207",785,"1,588",859,476,0,"1,335",253,"2,404",764,"1,108","1,872",532,811,259,362,621,190,0,254,219,0,219,35
WI-501,1537,638,679,0,"1,317",220,974,434,392,0,826,148,563,204,287,491,72,173,68,81,149,24,0,314,258,0,258,56
WI-502,236,125,105,0,230,6,158,99,55,0,154,4,78,26,50,76,2,17,6,10,16,1,0,15,15,0,15,0
WI-503,568,294,192,13,499,69,320,150,120,13,283,37,248,144,72,216,32,79,39,31,70,9,13,144,103,13,116,28
WV-500,197,111,38,0,149,48,159,86,34,0,120,39,38,25,4,29,9,12,8,1,9,3,0,31,15,0,15,16
WV-501,286,158,75,10,243,43,194,115,26,10,151,43,92,43,49,92,0,30,14,16,30,0,7,80,46,7,53,27
WV-503,406,261,113,0,374,32,286,167,87,0,254,32,120,94,26,120,0,46,39,7,46,0,0,49,29,0,29,20
WV-508,1375,378,380,0,758,617,888,258,265,0,523,365,487,120,115,235,252,157,48,36,84,73,0,356,261,0,261,95
WY-500,579,264,251,0,515,64,327,220,49,0,269,58,252,44,202,246,6,90,15,73,88,2,0,101,52,0,52,49
